cluster_id,feature,mean,zscore,count
0,u10,-0.6262782696090915,-0.4319135322903021,2303779
0,v10,0.5526904514880495,-0.8657656628113777,2303779
0,d2m,291.0596885744919,-0.6914306947809837,2303779
0,t2m,294.1909600942805,-0.6337970222419671,2303779
0,sp,96628.63196216819,-0.32009044887493654,2303779
0,cbh,950.3124996231766,0.3540284059765127,2303779
0,tcc,0.9181811023836924,0.1200301605839679,2303779
0,tciw,0.1586379712485834,-0.1780463454819143,2303779
0,tclw,0.2409722146897624,0.11408931312197329,2303779
0,crr,0.00014204695207970902,-0.3653390571687563,2303779
0,ptype,0.9624292111339342,0.8349026855744955,2303779
0,tcrw,0.16816544337489847,-0.3507317207980666,2303779
0,blh,573.5237699024832,-0.23828622189637028,2303779
0,cape,423.8463992297517,-0.34876633029072823,2303779
0,cin,77.20337982800419,-0.7343755897332267,2303779
0,z_surf,3546.9606115166257,0.3780095693677407,2303779
0,kx,30.177755266435977,-0.6406518030511407,2303779
0,tcw,46.32622523717495,-0.7022227782141242,2303779
0,tcwv,45.23635335407011,-0.7077971800116768,2303779
0,deg0l,4087.680151725846,-0.6966288552550404,2303779
0,rh850,75.49763573854713,-0.1327614262729344,2303779
0,tp,0.0011441721084173625,-0.3312861851309913,2303779
1,u10,-0.6254737736359275,-0.42872639037337623,2810153
1,v10,1.1307473936108106,0.3711123284907556,2810153
1,d2m,292.4940526809845,0.1480478813750274,2810153
1,t2m,294.97676766320944,-0.1824674359859236,2810153
1,sp,96992.10171920298,0.2976122947415927,2810153
1,cbh,1013.1883586009318,1.2082857196036485,2810153
1,tcc,0.9698617064867792,1.5716466510599263,2810153
1,tciw,0.22316191300041396,1.5727169494409305,2810153
1,tclw,0.2895616570995505,1.3973784540378849,2810153
1,crr,0.0001520940216679174,-0.05912526536088921,2810153
1,ptype,0.924742025405576,-0.5762717441046026,2810153
1,tcrw,0.2877380015718899,1.6859033390651956,2810153
1,blh,534.5498090831996,-1.5178316826429956,2810153
1,cape,367.60104966245075,-0.7009817670889621,2810153
1,cin,78.52946262789227,0.15195781811477077,2810153
1,z_surf,3180.6869367584536,-0.30165148121902097,2810153
1,kx,31.65288352557532,0.28862576465428896,2810153
1,tcw,51.75547786871305,0.6635737375030728,2810153
1,tcwv,50.11018479450027,0.5538497468884233,2810153
1,deg0l,4355.841183109868,0.2779133458845237,2810153
1,rh850,83.79143053227915,1.5131065331209808,2810153
1,tp,0.0014890096866167122,1.503722999623277,2810153
2,u10,-0.08640151764006734,1.7068962114142552,1132609
2,v10,1.6443644384767964,1.4701072067798644,1132609
2,d2m,294.917446175305,1.5663676168377654,1132609
2,t2m,298.21832502923417,1.6793251996173155,1132609
2,sp,97635.60664085366,1.391223930760904,1132609
2,cbh,809.8825414290368,-1.553910837957133,1132609
2,tcc,0.8764703888522121,-1.051549789817565,1132609
2,tciw,0.15833367110025998,-0.18630308733400522,1132609
2,tclw,0.182750941614212,-1.423584794722962,1132609
2,crr,0.0002060624944548739,1.5857215773014763,1132609
2,ptype,0.9043132413425508,-1.3412155079337165,1132609
2,tcrw,0.16528225111282216,-0.399840065838215,1132609
2,blh,614.2496321671385,1.0987755265197348,1132609
2,cape,753.5169978438179,1.715672326125655,1132609
2,cin,76.82531182850704,-0.9870704428908595,1132609
2,z_surf,2583.4483654079113,-1.4098932764369,1132609
2,kx,33.55726919376876,1.4883200086954183,1132609
2,tcw,54.11614512084935,1.2574291585984887,1132609
2,tcwv,53.139450388731916,1.3380097397890494,1132609
2,deg0l,4693.091929862576,1.5035391699651206,1132609
2,rh850,75.75438142931897,-0.08181134652497898,1132609
2,tp,0.0012252180540851731,0.099989476483687,1132609
3,u10,-0.7308663575482334,-0.8462562887505771,3372352
3,v10,0.5014274882031955,-0.9754538724592429,3372352
3,d2m,290.4931829764735,-1.022984803431776,3372352
3,t2m,293.7917902386517,-0.863060741389392,3372352
3,sp,96011.58031211414,-1.3687457766275848,3372352
3,cbh,923.636457531039,-0.00840328762302979,3372352
3,tcc,0.8911179058314247,-0.6401270218263198,3372352
3,tciw,0.12066574312082565,-1.2083675166250119,3372352
3,tclw,0.2333248962292231,-0.08788297243689461,3372352
3,crr,0.00011593236896237861,-1.161257254771828,3372352
3,ptype,0.9690438668776243,1.0825845664638318,3372352
3,tcrw,0.13384309531794022,-0.9353315524289139,3372352
3,blh,600.8039213567254,0.6573423780196312,3372352
3,cape,373.1993945759943,-0.6659242287459654,3372352
3,cin,80.65029284858923,1.569488214509325,3372352
3,z_surf,4061.899461499893,1.3335351882881803,3372352
3,kx,29.390976597998876,-1.1362939702985664,3372352
3,tcw,44.27282982761866,-1.218780117887441,3372352
3,tcwv,43.39650743618672,-1.184062306665792,3372352
3,deg0l,3980.8620793467817,-1.0848236605946089,3372352
3,rh850,69.62312043515531,-1.2985337603230673,3372352
3,tp,0.0009673116994656096,-1.2724262909759716,3372352
